% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=464670, Thu Dec 26 12:00:47 2019, <python>{}</python>
1 24 0.009913092214644178 1.000049943577012 -535.9256078198114 -5.3592560781981138e+02 -176.10258487168073 61.269367146332016   
2 48 0.009832870716395768 1.000049943577012 -545.8722922098467 -5.4587229220984671e+02 -365.1635677170701 47.52147111053399   
3 72 0.009757511448287362 1.000049943577012 -545.8722922098467 -5.0978331431337176e+02 -395.89451679364373 -164.21484028490758   
4 96 0.009686004869016102 1.000049943577012 -611.6602876683748 -6.1166028766837485e+02 -422.075400119811 -227.74631176120053   
5 120 0.009618052519522689 1.000049943577012 -613.4733060113632 -6.1347330601136321e+02 -406.0254401745141 -202.97522675712614   
6 144 0.00955348728009231 1.000049943577012 -615.5078399969178 -6.1550783999691782e+02 -373.88814446196926 -49.21295327246749   
7 168 0.009491112159999676 1.000049943577012 -707.8666333721158 -7.0786663337211576e+02 -542.3186674160509 -212.20800836926077   
8 192 0.009431004891618883 1.0031458744023547 -720.5184725367432 -7.2051847253674316e+02 -493.84908712984077 -206.3815725396007   
9 216 0.009373334383053409 1.0031458744023547 -743.6474430822749 -7.4364744308227489e+02 -540.6584568277606 -233.05284219154566   
10 240 0.009317942600474078 1.0031458744023547 -743.6474430822749 -6.4583774839455862e+02 -528.635990413994 -264.83789352077616   
11 264 0.009264818439411885 1.0031458744023547 -743.6474430822749 -7.3726903792723601e+02 -591.222689133953 -322.266941489844   
12 288 0.009213659157537342 1.0031458744023547 -798.3112489075354 -7.9831124890753540e+02 -633.9969205874028 -418.2630644308927   
13 312 0.009164980353232877 1.0031458744023547 -807.4839864158718 -8.0748398641587175e+02 -595.8860284974097 -351.9614867224794   
14 336 0.009118450565619132 1.0031458744023547 -896.8888686131265 -8.9688886861312653e+02 -628.8349253357196 -273.14320603891014   
15 360 0.009074760320026541 1.0037946646893978 -896.8888686131265 -7.8483220293162515e+02 -538.0888125852927 -50.09872183982377   
16 384 0.009032129359602747 1.0037946646893978 -896.8888686131265 -8.2150621843994372e+02 -589.1085512877933 -255.18275836548378   
17 408 0.0089908341909321 1.0037946646893978 -896.8888686131265 -8.1981009989192694e+02 -579.2520437865879 -279.8944114763401   
18 432 0.008950480284946228 1.0037946646893978 -896.8888686131265 -7.7415485321128915e+02 -617.9648509482971 -190.16717948355696   
19 456 0.008911759143169376 1.0037946646893978 -896.8888686131265 -8.1667295893855692e+02 -647.111013819768 -431.4337966511191   
20 480 0.008874466877387159 1.0037946646893978 -896.8888686131265 -7.9283174692147395e+02 -633.3021662303962 -340.58672373126115   
21 504 0.008838479975840332 1.0037946646893978 -896.8888686131265 -7.5300177105323780e+02 -570.0819165056224 -20.663772849974663   
22 528 0.00880416653233348 1.004862292199895 -896.8888686131265 -7.9766670952532877e+02 -588.4707584609761 -412.7718929355715   
23 552 0.008771317670938852 1.004862292199895 -896.8888686131265 -7.8488520346072971e+02 -637.8457872855008 -430.3650061668244   
24 576 0.008739207906364252 1.004862292199895 -896.8888686131265 -8.7516800810832217e+02 -660.23100649726 -443.21967179264925   
25 600 0.008707958015673997 1.004862292199895 -896.8888686131265 -8.6056176582223407e+02 -665.8905049088091 -438.0155088656317   
26 624 0.008676965645592257 1.004862292199895 -896.8888686131265 -8.8476781368347997e+02 -672.920004081489 -430.1802757325404   
27 648 0.008646158320338474 1.004862292199895 -896.8888686131265 -8.7649463456052945e+02 -684.871571836456 -286.50560403671386   
28 672 0.008615800102520856 1.004862292199895 -910.3501824817387 -9.1035018248173867e+02 -684.7104074381045 -502.30664863314416   
29 696 0.008585430004924389 1.0063082664010023 -910.3501824817387 -9.0247069288388252e+02 -754.1091337307652 -503.6531561231096   
30 720 0.008556388371735928 1.0063082664010023 -910.3501824817387 -8.7934859596132378e+02 -707.2542051076241 -316.2662997168692   
31 744 0.008528298827662243 1.0063082664010023 -910.8999999999885 -9.1089999999998849e+02 -714.2272067824813 -105.5008888430568   
32 768 0.008500703981886378 1.0063082664010023 -910.8999999999885 -8.9338850364962320e+02 -782.1288372613401 -499.8859768838862   
33 792 0.008474409598378774 1.0063082664010023 -910.8999999999885 -8.9441461038960051e+02 -753.847079727639 -519.4763198245967   
34 816 0.008448343949949467 1.0063082664010023 -910.8999999999885 -9.0160036496349130e+02 -717.8720519830617 -465.97629326511355   
35 840 0.008423136681025581 1.0063082664010023 -910.8999999999885 -8.9141137253156182e+02 -783.469790878087 -593.4687430710842   
36 864 0.008398712714313023 1.00792732123535 -910.8999999999885 -8.8802536379971355e+02 -758.8893187410188 -519.7260916193669   
37 888 0.00837453286085093 1.00792732123535 -910.8999999999885 -8.6441666666665219e+02 -743.011321820049 -185.87474156832343   
38 912 0.008350820149632987 1.00792732123535 -910.8999999999885 -9.0015827759195975e+02 -723.0910619742908 -347.2430030203459   
39 936 0.00832821116257822 1.00792732123535 -910.8999999999885 -8.9231461038959617e+02 -799.8948947418648 -446.1796198661763   
40 960 0.00830557998916157 1.00792732123535 -911.1749999999861 -9.1117499999998608e+02 -757.7604102789489 -609.7832003732681   
41 984 0.008283021571069884 1.00792732123535 -911.1749999999861 -8.8096556225584470e+02 -770.5064428203709 -483.36197129796005   
42 1008 0.008261613679466899 1.00792732123535 -911.1749999999861 -9.0557499999998720e+02 -818.7602349644752 -665.971727048134   
43 1032 0.008240839195448137 1.0098081671913968 -911.1749999999861 -9.0314772727271327e+02 -802.5390198511029 -568.4227726607847   
